353,162,1750,707
370,159,1712,895
353,162,585,1040
369,162,1844,71
334,185,980,244
331,220,1234,450
367,162,993,1005
343,220,1807,399
367,216,1674,945
331,225,633,376
341,177,1346,393
383,213,533,978
368,195,1413,98
230,208,58,287
317,218,446,874
372,177,1704,414
352,202,1581,50
350,216,956,481
365,186,1266,246
340,228,974,436
369,172,1834,567
325,225,805,276
353,216,1693,889
347,174,1453,422
336,178,822,361
341,218,915,611
358,175,1116,424
360,175,1376,326
335,225,738,514
344,223,1741,406
378,227,1846,118
222,216,121,270
320,223,535,647
351,216,1204,842
344,220,349,845
301,193,706,140
336,167,472,594
359,204,1386,57
352,213,1677,814
351,162,1844,776
338,163,350,819
275,183,275,344
207,233,137,54
265,298,757,31
365,162,613,979
296,198,723,85
268,206,503,103
379,162,1078,601
354,218,1917,1012
379,162,1383,841
369,216,1441,988
297,239,558,254
412,265,1761,308
332,162,777,1079
243,228,216,146
363,162,1405,1057
335,165,646,707
430,225,1492,38
380,209,1837,374
334,181,1238,418
225,234,293,62
366,251,1770,338
354,216,460,978
384,162,1845,946
394,261,1873,332
352,272,1207,105
253,250,275,234
318,200,983,61
334,223,882,665
379,162,625,1057
361,162,598,916
443,262,1869,133
367,216,1856,966
384,144,1830,707
261,244,168,272
263,274,564,58
364,162,1665,842
360,216,1294,450
450,223,1773,37
365,162,1369,925
353,216,1440,786
338,163,1616,619
381,162,899,939
343,175,1256,386
360,261,1323,180
376,272,1504,66
345,173,858,397
339,223,1365,527
375,163,1340,724
323,216,672,662
358,216,1742,612
380,251,1796,221
367,162,1858,701
366,216,1803,1052
310,231,250,469
364,272,1330,142
322,239,891,176
367,162,1150,1068
327,163,86,865
342,237,657,355
338,246,679,118
190,298,30,31
358,162,1065,683
326,167,1100,538
297,233,429,314
362,162,853,1024
368,231,1911,532
347,180,980,164
333,233,1118,332
354,251,1541,504
343,258,927,355
308,232,358,532
308,239,461,478
342,226,1884,1079
359,225,1698,719
367,233,1846,415
337,162,515,968
336,222,347,842
384,162,1832,944
384,162,4,58
202,231,39,172
344,231,936,550
312,261,872,86
295,246,289,216
367,216,1273,1048
320,163,276,827
354,163,764,868
295,173,325,416
381,196,1724,333
294,211,625,41
325,229,470,473
370,218,1688,658
345,218,338,702
360,162,1208,784
365,162,888,860
363,177,1780,460
340,221,1008,504
354,162,17,916
333,216,189,908
350,165,928,522
379,216,1571,769
367,162,1777,866
367,216,1660,838
384,216,534,1018
345,162,68,1005
318,231,645,285
350,216,993,914
319,233,765,287
335,163,528,893
366,162,1335,876
331,173,861,501
378,219,1372,689
343,167,61,779
350,165,818,622
312,167,28,794
385,269,1707,116
364,144,1723,679
349,144,993,926
331,174,1323,411
351,165,703,905
376,216,500,1002
354,162,1275,754
365,181,1691,401
301,165,264,707
295,242,637,142
319,171,514,646
367,216,1277,1062
324,165,1373,491
365,163,929,791
267,216,433,71
215,238,279,73
297,236,545,358
374,243,1533,509
380,256,1387,260
366,216,1454,1007
365,216,76,1072
324,242,1107,31
325,162,700,29
329,218,536,623
336,216,625,618
364,169,1598,397
342,218,1190,690
308,229,1008,383
365,223,1533,573
350,216,1774,810
354,162,430,984
339,165,574,902
345,216,197,1068
379,250,1640,272
343,237,752,267
355,239,1684,384
321,253,645,54
352,216,546,988
287,239,279,301
352,226,1529,529
316,173,233,451
347,165,454,852
357,165,1334,653
372,253,1695,205
306,236,511,361
318,169,499,536
357,234,1187,303
344,177,1073,471
329,226,626,342
378,234,1685,537
325,187,692,298
240,256,1,304
366,231,1338,378
345,163,97,973
296,272,800,46
303,187,458,301
332,162,897,860
281,176,273,338
378,202,1796,251
354,162,839,855
384,162,1851,1018
225,290,254,48
315,167,283,724
364,261,1552,183
367,216,1158,883
357,195,1399,208
346,163,1376,638
197,255,135,51
365,162,911,806
346,163,533,806
245,256,6,297
365,216,642,983
346,216,48,972
312,169,18,651
321,167,350,695
301,233,516,209
325,238,623,314
313,242,970,240
359,165,1485,829
340,162,0,1004
365,253,1314,339
341,223,1166,558
366,231,1663,712
311,236,585,264
283,187,266,453
352,221,1437,630
414,259,1843,205
382,243,1599,474
363,257,1256,118
286,228,664,58
360,162,1587,940
331,225,45,824
316,168,636,657
365,216,1633,894
384,216,813,1015
273,191,220,319
238,206,363,152
368,254,1736,239
336,202,1248,192
348,173,627,656
310,211,798,97
342,169,1195,614
357,165,993,761
336,218,1089,649
333,265,1012,68
354,177,1465,394
293,230,630,42
377,162,1787,881
349,144,599,476
380,264,1568,243
396,279,1605,26
275,223,475,152
368,229,1655,556
369,265,1484,135
367,162,1828,1035
349,144,1679,532
315,211,1003,9
331,175,1242,465
315,264,809,153
322,252,1049,177
354,163,921,327
377,162,1715,950
285,285,437,145
312,173,567,607
354,243,1423,392
295,226,308,623
333,225,1197,33
354,201,1298,253
352,180,1247,434
273,196,178,387
415,255,1715,442
474,267,1754,23
337,253,840,179
242,197,60,464
351,163,845,1029
319,242,535,535
315,194,637,313
377,246,1428,562
357,162,1122,715
337,168,1332,653
322,188,841,231
369,226,652,1035
300,173,22,626
364,216,1467,805
250,253,363,191
366,144,1633,1036
328,184,1295,269
359,167,1612,749
305,171,102,687
313,229,282,583
307,169,185,788
346,258,1194,252
289,243,332,332
308,171,237,848
348,226,238,935
376,262,1580,209
322,165,262,956
316,167,41,859
419,285,1662,77
215,297,173,20
329,244,471,253
333,167,416,904
261,262,149,229
349,216,1560,821
341,258,1016,216
